X_CCDS_start	X_CCDS_end	gene	X_NM_identifier	X_ENST_ID	X_CCDS_ID	X_strand	X_total_CCDS_length	X_CCDS_exons	X_region	Strata	Y_sequence_classification
102519075	102519411	NGFRAP1	NM_206915	"ENST00000372645,ENST00000372635"	CCDS14508.1	+	336	2	XCR	Stratum 1	lostY
102641506	102642340	RAB40A	NM_080879	"ENST00000372633,ENST00000304236"	CCDS35357.1	-	693	1	XCR	Stratum 1	notAnc_addXY
102728259	102728907	TCEAL4	NM_024863	ENST00000395036	CCDS14510.2	+	648	1	XCR	Stratum 1	pseudogene
102750648	102751251	TCEAL3	NM_032926	"ENST00000372628,ENST00000372627,ENST00000243286"	CCDS14511.1	+	603	1	XCR	Stratum 1	lostY
102771500	102771980	TCEAL1	NM_004780	"ENST00000372626,ENST00000372625,ENST00000372624"	CCDS35358.1	+	480	1	XCR	Stratum 1	lostY
102817744	102818611	MORF4L2	NM_012286	"ENST00000372619,ENST00000360458,ENST00000340782"	CCDS14512.1	-	867	1	XCR	Stratum 1	lostY
102848927	102866560	GLRA4	NM_001024452	"ENST00000372617,ENST00000339993"	CCDS43980.1	-	1254	8	XCR	Stratum 1	lostY
102853842	102855582	TMEM31	NM_182541	ENST00000319560	CCDS35359.1	+	507	2	XCR	Stratum 1	lostY
102918579	102932182	PLP1	NM_199478	ENST00000361621	CCDS14514.1	+	729	7	XCR	Stratum 1	lostY
102966764	102967370	RAB9B	NM_016370	ENST00000243298	CCDS14515.1	-	606	1	XCR	Stratum 1	pseudogene
103153939	103154888	H2BFWT	NM_001002916	ENST00000217926	CCDS35362.1	-	528	2	XCR	Stratum 1	lostY
103235672	103236596	MCART6	NM_001012755	ENST00000357421	CCDS35363.1	-	924	1	XCR	Stratum 1	pseudogene
103298122	103321115	CXorf39	NM_207318	ENST00000299906	CCDS35364.1	+	1167	6	XCR	Stratum 1	lostY
103381564	103386186	ESX1	NM_153448	ENST00000372588	CCDS14516.1	-	1221	4	XCR	Stratum 1	pseudogene
103790250	104898310	IL1RAPL2	NM_017416	"ENST00000372582,ENST00000344799"	CCDS14517.1	+	2061	10	XCR	Stratum 1	lostY
105164146	105167705	SERPI-7	NM_000354	"ENST00000372563,ENST00000327674"	CCDS14518.1	-	1248	4	XCR	Stratum 1	lostY
105741966	105767941	CXorf57	NM_018015	ENST00000372548	CCDS14519.1	+	2568	14	XCR	Stratum 1	lostY
105856799	105925599	RNF128	NM_194463	ENST00000255499	CCDS14521.1	+	1287	7	XCR	Stratum 1	lostY
105932739	106003851	TBC1D8B	NM_017752	ENST00000276175	CCDS14522.1	+	3363	21	XCR	Stratum 1	pseudogene
106058114	106058807	CLDN2	NM_020384	ENST00000336803	CCDS14524.1	+	693	1	XCR	Stratum 1	lostY
106071364	106129855	MORC4	NM_024657	ENST00000372498	CCDS14525.2	-	2814	17	XCR	Stratum 1	pseudogene
106195639	106248659	RBM41	NM_018301	ENST00000372479	CCDS14526.1	-	1242	7	XCR	Stratum 1	lostY
106277670	106305032	NUP62CL	NM_017681	ENST00000372466	CCDS14527.1	-	555	6	XCR	Stratum 1	lostY
106342761	106373184	CXorf41	NM_173494	"ENST00000372453,ENST00000336387"	CCDS14528.1	+	645	6	XCR	Stratum 1	lostY
106758514	106779918	PRPS1	NM_002764	ENST00000372435	CCDS14529.1	+	957	7	XCR	Stratum 1	lostY
106844404	106905305	TSC22D3	NM_198057	"ENST00000372384,ENST00000372383"	CCDS14530.1	-	603	3	XCR	Stratum 1	lostY
106970611	107056959	MID2	NM_012216	ENST00000262843	CCDS14532.1	+	2208	9	XCR	Stratum 1	pseudogene
107110965	107112013	TEX13B	NM_031273	ENST00000302917	CCDS14534.1	-	939	2	XCR	Stratum 1	lostY
107175016	107207267	VSIG1	NM_182607	ENST00000217957	CCDS14535.1	+	1164	7	XCR	Stratum 1	pseudogene
107214859	107221406	PSMD10	NM_002814	ENST00000217958	CCDS14536.1	-	681	5	XCR	Stratum 1	lostY
107221712	107283598	ATG4A	NM_052936	ENST00000372232	CCDS14538.1	+	1197	13	XCR	Stratum 1	pseudogene
107570011	107826264	COL4A5	NM_000495	ENST00000361603	CCDS14543.1	+	5058	51	XCR	Stratum 1	pseudogene
107862456	107866230	IRS4	NM_003604	ENST00000372129	CCDS14544.1	-	3774	1	XCR	Stratum 1	pseudogene
108505783	108605821	GUCY2F	NM_001522	ENST00000218006	CCDS14545.1	-	3327	18	XCR	Stratum 1	pseudogene
108665767	108672573	NXT2	NM_018698	ENST00000218004	CCDS14546.1	+	594	5	XCR	Stratum 1	lostY
108754476	108754905	KCNE1L	NM_012282	ENST00000372101	CCDS14547.1	-	429	1	XCR	Stratum 1	lostY
109238970	109303335	TMEM164	NM_032227	"ENST00000372073,ENST00000372068"	CCDS14550.2	+	894	6	XCR	Stratum 1	lostY
109328403	109447955	AMMECR1	NM_015365	ENST00000262844	CCDS14551.1	-	1002	6	XCR	Stratum 1	lostY
109806114	109922047	CHRDL1	NM_145234	"ENST00000394797,ENST00000218054"	CCDS14553.1	-	1371	11	XCR	Stratum 1	lostY
110252987	110350331	PAK3	NM_002578	ENST00000372007	CCDS14554.1	+	1635	14	XCR	Stratum 1	lostY
110376460	110393820	CAPN6	NM_014289	ENST00000324068	CCDS14555.1	-	1926	12	XCR	Stratum 1	lostY
110431570	110540858	DCX	NM_000555	ENST00000338081	CCDS14556.1	-	1326	7	XCR	Stratum 1	lostY
110811102	110817885	ALG13	NM_018466	ENST00000371979	CCDS14559.1	+	498	4	XCR	Stratum 1	lostY
110906196	111082304	TRPC5	NM_012471	ENST00000262839	CCDS14561.1	-	2922	10	XCR	Stratum 1	pseudogene
111584612	111585545	ZCCHC16	NM_001004308	ENST00000340433	CCDS35369.1	+	933	1	XCR	Stratum 1	lostY
111761303	111801343	LHFPL1	NM_178175	ENST00000371968	CCDS14562.1	-	663	3	XCR	Stratum 1	lostY
111908450	111945406	AMOT	NM_133265	ENST00000304758	CCDS14563.1	-	2028	10	XCR	Stratum 1	lostY
113867601	114048234	HTR2C	NM_000868	"ENST00000371951,ENST00000276198"	CCDS14564.1	+	1377	4	XCR	Stratum 1	lostY
114144898	114158088	IL13RA2	NM_000640	"ENST00000371936,ENST00000243213"	CCDS14565.1	-	1143	9	XCR	Stratum 1	lostY
114430581	114447625	LUZP4	NM_016383	ENST00000371920	CCDS14567.1	+	942	4	XCR	Stratum 1	notAnc_addX
114750818	114790137	PLS3	NM_005032	ENST00000289290	CCDS14568.1	+	1893	15	XCR	Stratum 1	pseudogene
115217561	115218653	AGTR2	NM_000686	"ENST00000394746,ENST00000371906"	CCDS14569.1	+	1092	1	XCR	Stratum 1	pseudogene
115481905	115504149	SLC6A14	NM_007231	ENST00000371900	CCDS14570.1	+	1929	14	XCR	Stratum 1	lostY
115506935	115508045	CXorf61	NM_001017978	ENST00000371894	CCDS35372.1	-	342	2	XCR	Stratum 1	lostY
116916898	116963511	KLHL13	NM_033495	ENST00000262820	CCDS14571.1	-	1968	7	XCR	Stratum 1	lostY
117364494	117466978	WDR44	NM_019045	ENST00000254029	CCDS14572.1	+	2742	20	XCR	Stratum 1	pseudogene
117513962	117703798	DOCK11	NM_144658	ENST00000276202	CCDS35373.1	+	6222	53	XCR	Stratum 1	pseudogene
117745629	117779292	IL13RA1	NM_001560	ENST00000371666	CCDS14573.1	+	1284	11	XCR	Stratum 1	pseudogene
117843235	117844444	ZCCHC12	NM_173798	ENST00000310164	CCDS14574.1	+	1209	1	XCR	Stratum 1	lostY
117992771	118035681	LONRF3	NM_001031855	ENST00000371628	CCDS35374.1	+	2280	11	XCR	Stratum 1	pseudogene
118254354	118261245	PGRMC1	NM_006667	ENST00000217971	CCDS14576.1	+	588	3	XCR	Stratum 1	lostY
118417394	118471056	SLC25A43	NM_145305	ENST00000217909	CCDS14577.1	+	1026	5	XCR	Stratum 1	lostY
118486506	118489049	SLC25A5	NM_001152	ENST00000317881	CCDS14578.1	+	897	4	XCR	Stratum 1	lostY
118557717	118583346	CXorf56	NM_022101	ENST00000371594	CCDS14579.1	-	669	7	XCR	Stratum 1	pseudogene
118592702	118601246	UBE2A	NM_003336	ENST00000371558	CCDS14580.1	+	459	6	XCR	Stratum 1	lostY
118607342	118610488	NKRF	NM_017544	"ENST00000371527,ENST00000304449"	CCDS35375.1	-	2073	2	XCR	Stratum 1	pseudogene
118634723	118711096	SEPT6	NM_145802	ENST00000394616	CCDS14583.1	-	1290	10	XCR	Stratum 1	lostY
118776658	118777606	ANKRD58	NM_001105576	ENST00000343905	CCDS43984.1	+	1020	1	XCR	Stratum 1	pseudogene
118804674	118809567	RPL39	NM_001000	ENST00000361575	CCDS14586.1	-	156	3	XCR	Stratum 1	pseudogene
118852868	118870919	UPF3B	NM_080632	ENST00000276201	CCDS14588.1	-	1452	11	XCR	Stratum 1	lostY
118888572	118889604	RNF113A	NM_006978	ENST00000371442	CCDS14589.1	-	1032	1	XCR	Stratum 1	pseudogene
118889902	118894525	NDUFA1	NM_004541	ENST00000371437	CCDS14590.1	+	213	3	XCR	Stratum 1	pseudogene
118921214	118938598	AKAP14	NM_178813	ENST00000371431	CCDS14591.1	+	594	5	XCR	Stratum 1	lostY
118943210	118954801	NKAP	NM_024528	ENST00000371410	CCDS14592.1	-	1248	9	XCR	Stratum 1	pseudogene
119090508	119095545	RHOXF2	NM_032498	ENST00000371388	CCDS14594.1	+	867	4	XCR	Stratum 1	lostY
119127177	119133800	RHOXF1	NM_139282	ENST00000217999	CCDS14593.1	-	555	3	XCR	Stratum 1	lostY
119176684	119181721	RHOXF2B	NM_001099685	ENST00000371402	CCDS43985.1	-	867	4	XCR	Stratum 1	notAnc_addX
119271298	119273317	ZBTB33	NM_006777	ENST00000326624	CCDS14596.1	+	2019	1	XCR	Stratum 1	pseudogene
119278752	119329192	FAM70A	NM_017938	ENST00000309720	CCDS14597.1	-	1050	10	XCR	Stratum 1	lostY
119380051	119397517	ATP1B4	NM_012069	ENST00000361319	CCDS14598.1	+	1062	8	XCR	Stratum 1	pseudogene
119457036	119487052	LAMP2	NM_013995	ENST00000371335	CCDS14600.1	-	1233	9	XCR	Stratum 1	lostY
119544643	119592500	CUL4B	NM_003588	ENST00000371322	CCDS35379.1	-	2742	21	XCR	Stratum 1	pseudogene
119622119	119630147	MCTS1	NM_014060	ENST00000371317	CCDS14601.1	+	546	6	XCR	Stratum 1	pseudogene
119644092	119645049	C1GALT1C1	NM_152692	"ENST00000371313,ENST00000304661"	CCDS14602.1	-	957	1	XCR	Stratum 1	pseudogene
119896684	119898438	CT47.11	NM_173571	"ENST00000394550,ENST00000371309"	CCDS35381.1	-	867	2	XCR	Stratum 1	notAnc_addX
119901545	119903299	CT47A10	NM_001080137	ENST00000371303	CCDS35382.1	-	867	2	XCR	Stratum 1	notAnc_addX
119906405	119908159	CT47A9	NM_001080138	"ENST00000394545,ENST00000371305"	CCDS35383.1	-	867	2	XCR	Stratum 1	notAnc_addX
119911266	119913020	CT47A8	NM_001080139	"ENST00000371307,ENST00000371301"	CCDS35384.1	-	867	2	XCR	Stratum 1	notAnc_addX
119916126	119917880	CT47.7	NM_001080140	"ENST00000371299,ENST00000371296"	CCDS35385.1	-	945	2	XCR	Stratum 1	notAnc_addX
119916126	119922763	CT47.1	NM_001080146	"ENST00000371283,ENST00000371280"	CCDS35391.1	-	867	2	XCR	Stratum 1	notAnc_addXY
119921009	119922763	CT47.6	NM_001080141	ENST00000371295	CCDS35386.1	-	867	2	XCR	Stratum 1	notAnc_addX
119925870	119927624	CT47A5	NM_001080142	"ENST00000371294,ENST00000371293"	CCDS35387.1	-	867	2	XCR	Stratum 1	notAnc_addX
119930730	119932484	CT47A4	NM_001080143	"ENST00000371290,ENST00000371289"	CCDS35388.1	-	867	2	XCR	Stratum 1	notAnc_addX
119935590	119937344	CT47A3	NM_001080144	"ENST00000371297,ENST00000371288"	CCDS35389.1	-	867	2	XCR	Stratum 1	notAnc_addX
119940450	119942204	CT47A2	NM_001080145	"ENST00000394544,ENST00000371285"	CCDS35390.1	-	867	2	XCR	Stratum 1	notAnc_addX
120009219	120010896	GLUD2	NM_012084	ENST00000328078	CCDS14603.1	+	3111	1	XCR	Stratum 1	notAnc_addXY
122146068	122444576	GRIA3	NM_000828	"ENST00000371251,ENST00000264357"	CCDS14604.1	+	2685	15	XCR	Stratum 1	lostY
122572467	122694553	THOC2	NM_001081550	ENST00000355725	CCDS43988.1	-	4782	38	XCR	Stratum 1	pseudogene
122847193	122868712	XIAP	NM_001167	"ENST00000371199,ENST00000355640"	CCDS14606.1	+	1665	6	XCR	Stratum 1	lostY
122984158	123062128	STAG2	NM_001042750	"ENST00000371166,ENST00000371145"	CCDS43990.1	+	3807	33	XCR	Stratum 1	pseudogene
123308173	123332922	SH2D1A	NM_002351	ENST00000371139	CCDS14608.1	+	387	4	XCR	Stratum 1	lostY
123342066	123925283	ODZ1	NM_014253	ENST00000371130	CCDS14609.1	-	8178	31	XCR	Stratum 1	pseudogene
125126196	125127588	WDR40C	NM_001013628	ENST00000360028	CCDS43991.1	-	1392	1	XCR	Stratum 1	lostY
125512880	125514272	WDR40B	NM_178470	ENST00000371126	CCDS14610.1	-	1392	1	XCR	Stratum 1	pseudogene
127012735	127013866	ACTRT1	NM_138289	ENST00000371124	CCDS14611.1	-	1131	1	XCR	Stratum 1	pseudogene
128409966	128485028	SMARCA1	NM_003069	ENST00000371122	CCDS14612.1	-	3165	24	XCR	Stratum 1	pseudogene
128502097	128551928	OCRL	NM_000276	ENST00000371113	CCDS35393.1	+	2706	24	XCR	Stratum 1	lostY
128700870	128730142	XPNPEP2	NM_003399	ENST00000371106	CCDS14613.1	+	2025	21	XCR	Stratum 1	lostY
128741754	128755489	SASH3	NM_018990	ENST00000356892	CCDS14614.1	+	1143	8	XCR	Stratum 1	pseudogene
128768026	128803602	ZDHHC9	NM_016032	"ENST00000371064,ENST00000357166"	CCDS35395.1	-	1095	9	XCR	Stratum 1	lostY
128867867	128891265	UTP14A	NM_006649	ENST00000371051	CCDS14615.1	+	2316	15	XCR	Stratum 1	lostY
128974723	128977870	BCORL1	NM_021946	ENST00000218147	CCDS14616.1	+	5136	12	XCR	Stratum 1	pseudogene
129028376	129042985	ELF4	NM_001421	"ENST00000335997,ENST00000308167"	CCDS14617.1	-	1992	8	XCR	Stratum 1	lostY
129091212	129127311	AIFM1	NM_145812	ENST00000319908	CCDS14619.1	-	1830	16	XCR	Stratum 1	pseudogene
129133717	129146395	RAB33A	NM_004794	ENST00000257017	CCDS14621.1	+	714	2	XCR	Stratum 1	lostY
129166631	129222104	ZNF280C	NM_017666	ENST00000370978	CCDS14622.1	-	2214	18	XCR	Stratum 1	lostY
129301933	129334605	SLC25A14	NM_003951	ENST00000218197	CCDS14623.1	+	978	10	XCR	Stratum 1	pseudogene
129346094	129347102	GPR119	NM_178471	ENST00000276218	CCDS14625.1	-	1008	1	XCR	Stratum 1	pseudogene
129363687	129374503	RBMX2	NM_016024	ENST00000305536	CCDS43993.1	+	969	6	XCR	Stratum 1	pseudogene
129586968	129670946	ENOX2	NM_182314	"ENST00000370927,ENST00000338144"	CCDS14626.1	-	1833	13	XCR	Stratum 1	pseudogene
130043320	130050440	FLJ30058	NM_144967	ENST00000276211	CCDS14628.1	+	1644	11	XCR	Stratum 1	pseudogene
130246771	130248329	IGSF1	NM_205833	"ENST00000370901,ENST00000370900"	CCDS14630.1	-	729	4	XCR	Stratum 1	lostY
130505728	130506655	OR13H1	NM_001004486	ENST00000338616	CCDS35396.1	+	927	1	XCR	Stratum 1	pseudogene
130985326	131035868	MST4	NM_016542	ENST00000394334	CCDS14631.1	+	1251	11	XCR	Stratum 1	pseudogene
131039580	131089553	FRMD7	NM_194277	ENST00000298542	CCDS35397.1	-	2145	12	XCR	Stratum 1	pseudogene
131175876	131178779	RAP2C	NM_021183	"ENST00000370874,ENST00000342983"	CCDS14632.1	-	552	2	XCR	Stratum 1	lostY
131343084	131367990	MBNL3	NM_018388	ENST00000370853	CCDS14633.1	-	1065	8	XCR	Stratum 1	lostY
131987172	131989914	USP26	NM_031907	ENST00000370832	CCDS14635.1	-	2742	1	XCR	Stratum 1	pseudogene
132264560	132376659	GPC4	NM_001448	ENST00000370828	CCDS14637.1	-	1671	9	XCR	Stratum 1	lostY
133339313	133387026	PHF6	NM_032458	"ENST00000370803,ENST00000332070"	CCDS14639.1	+	1098	9	XCR	Stratum 1	pseudogene
133422007	133461773	HPRT1	NM_000194	ENST00000298556	CCDS14641.1	+	657	9	XCR	Stratum 1	pseudogene
133527739	133528378	PLAC1	NM_021796	ENST00000359237	CCDS14642.1	-	639	1	XCR	Stratum 1	lostY
133733834	133757901	FAM122B	NM_145284	"ENST00000394270,ENST00000298090"	CCDS14643.1	-	747	9	XCR	Stratum 1	pseudogene
133765893	133783073	FAM122C	NM_138819	ENST00000370785	CCDS14644.1	+	459	7	XCR	Stratum 1	pseudogene
133850856	133861129	MOSPD1	NM_019556	ENST00000370783	CCDS14645.1	-	642	5	XCR	Stratum 1	lostY
133983813	133984155	FAM127C	NM_001078173	ENST00000391440	CCDS43996.1	-	342	1	XCR	Stratum 1	lostY
133994079	133994421	FAM127A	NM_001078171	ENST00000370776	CCDS43997.1	+	342	1	XCR	Stratum 1	lostY
134013462	134013804	FAM127B	NM_001078172	ENST00000370775	CCDS43998.1	-	342	1	XCR	Stratum 1	lostY
134118549	134132761	CXorf48	NM_001031705	ENST00000276241	CCDS35400.1	-	795	6	XCR	Stratum 1	lostY
134248734	134255732	ZNF75D	NM_007131	ENST00000370766	CCDS14648.1	-	1533	5	XCR	Stratum 1	notAnc_addXY
134308709	134310374	ZNF449	NM_152695	ENST00000339249	CCDS14649.1	+	1557	4	XCR	Stratum 1	pseudogene
134482583	134543227	DDX26B	NM_182540	ENST00000370752	CCDS35401.1	+	2586	17	XCR	Stratum 1	pseudogene
134697629	134701721	CT45-2	NM_152582	ENST00000370736	CCDS44002.1	+	570	4	XCR	Stratum 1	lostY
134697629	134718992	CT45-4	NM_001017436	ENST00000370731	CCDS35405.1	-	570	4	XCR	Stratum 1	notAnc_addX
134714898	134718992	CT45-3	NM_001017435	ENST00000370734	CCDS35404.1	+	570	4	XCR	Stratum 1	lostY
134773822	134777912	CT45-5	NM_001007551	ENST00000370724	CCDS35406.1	-	570	4	XCR	Stratum 1	lostY
134791073	134795162	CT45-6	NM_001017438	ENST00000370719	CCDS35407.1	-	570	4	XCR	Stratum 1	notAnc_addX
134806067	134822722	SAGE1	NM_018666	"ENST00000370709,ENST00000324447"	CCDS14652.1	+	669	19	XCR	Stratum 1	lostY
134874848	134883500	MMGT1	NM_173470	ENST00000305963	CCDS14653.1	-	396	4	XCR	Stratum 1	lostY
134895327	134954549	SLC9A6	NM_006359	ENST00000370698	CCDS14654.1	+	2010	16	XCR	Stratum 1	lostY
135116257	135119850	FHL1	NM_001449	ENST00000370690	CCDS14655.1	+	843	5	XCR	Stratum 1	lostY
135129254	135161180	MAP7D3	NM_024597	ENST00000370660	CCDS44004.1	-	2631	18	XCR	Stratum 1	lostY
135218602	135326316	GPR112	NM_153834	"ENST00000394143,ENST00000370652"	CCDS35409.1	+	9243	23	XCR	Stratum 1	pseudogene
135397939	135402200	BRS3	NM_001727	ENST00000370648	CCDS14656.1	+	1200	3	XCR	Stratum 1	lostY
135407509	135421838	HTATSF1	NM_014500	ENST00000218364	CCDS14657.1	+	2268	9	XCR	Stratum 1	pseudogene
135445845	135466364	VGLL1	NM_016267	ENST00000370634	CCDS14658.1	+	777	4	XCR	Stratum 1	lostY
135558073	135569240	CD40LG	NM_000074	ENST00000370629	CCDS14659.1	+	786	5	XCR	Stratum 1	pseudogene
135577853	135690707	ARHGEF6	NM_004840	ENST00000250617	CCDS14660.1	-	2331	22	XCR	Stratum 1	lostY
135784884	135789252	RBMX	NM_002139	ENST00000320676	CCDS14661.1	-	1176	8	XCR	Stratum 1	gene
135939972	135941499	GPR101	NM_054021	ENST00000298110	CCDS14662.1	-	1527	1	XCR	Stratum 1	pseudogene
136476516	136479895	ZIC3	NM_003413	ENST00000287538	CCDS14663.1	+	1404	3	XCR	Stratum 1	lostY
137542676	137620831	FGF13	NM_004114	ENST00000315930	CCDS14665.1	-	738	5	XCR	Stratum 1	lostY
138440589	138471896	F9	NM_000133	"ENST00000394090,ENST00000218099"	CCDS14666.1	+	1386	8	XCR	Stratum 1	lostY
138492295	138514794	MCF2	NM_005369	ENST00000370576	CCDS14667.1	-	2778	25	XCR	Stratum 1	lostY
138638724	138742014	ATP11C	NM_001010986	ENST00000361648	CCDS35410.1	-	3360	29	XCR	Stratum 1	pseudogene
138865720	138875321	LOC347487	NM_001013403	ENST00000370540	CCDS35411.1	-	1086	3	XCR	Stratum 1	lostY
139413550	139414891	SOX3	NM_005634	ENST00000370536	CCDS14669.1	-	1341	1	XCR	Stratum 1	gene
139693408	139694197	CDR1	NM_004065	ENST00000370532	CCDS14670.1	-	789	1	XCR	Stratum 1	lostY
139924529	139925488	SPANXB1	NM_032461	ENST00000370530	CCDS44006.1	+	1053	2	XCR	Stratum 1	notAnc_addX
140098431	140098872	LDOC1	NM_012317	ENST00000370526	CCDS14672.1	-	441	1	XCR	Stratum 1	lostY
140163315	140164256	SPANXC	NM_022661	ENST00000358993	CCDS14673.1	-	1761	2	XCR	Stratum 1	notAnc_addX
140499525	140500466	SPANXA1	NM_013453	ENST00000370519	CCDS14674.1	-	2310	2	XCR	Stratum 1	notAnc_addX
140505560	140506501	SPANXA2	NM_145662	ENST00000370518	CCDS44007.1	+	2538	2	XCR	Stratum 1	notAnc_addX
140613287	140614228	SPANXD	NM_032417	ENST00000370515	CCDS14675.1	-	945	2	XCR	Stratum 1	notAnc_addX
140753767	140813284	MAGEC3	NM_138702	ENST00000298296	CCDS14676.1	+	1932	8	XCR	Stratum 1	lostY
140820524	140824285	MAGEC1	NM_005462	ENST00000285879	CCDS35417.1	+	1899	2	XCR	Stratum 1	notAnc_addXY
141118317	141119439	MAGEC2	NM_016249	ENST00000247452	CCDS14678.1	-	1044	1	XCR	Stratum 1	notAnc_addX
142424309	142432885	SPANXN3	NM_001009609	ENST00000370503	CCDS35418.1	-	426	2	XCR	Stratum 1	notAnc_addX
142544076	142546590	SLITRK4	NM_173078	"ENST00000356928,ENST00000338017"	CCDS14679.1	-	2514	1	XCR	Stratum 1	pseudogene
142622800	142631428	SPANXN2	NM_001009615	ENST00000370498	CCDS35419.1	-	543	2	XCR	Stratum 1	notAnc_addXY
142794868	142795330	UBE2NL	NM_001012989	ENST00000370494	CCDS35420.1	+	1032	1	XCR	Stratum 1	notAnc_addX
144136798	144145026	SPANXN1	NM_001009614	ENST00000370493	CCDS35421.1	+	984	1	XCR	Stratum 1	notAnc_addX
144711635	144714173	SLITRK2	NM_032539	"ENST00000394024,ENST00000370490"	CCDS14680.1	+	2538	1	XCR	Stratum 1	pseudogene
144716887	144717223	CXorf1	NM_004709	ENST00000333184	CCDS14681.1	+	336	1	XCR	Stratum 1	lostY
146801389	146838056	FMR1	NM_002024	ENST00000370475	CCDS14682.1	+	1899	17	XCR	Stratum 1	pseudogene
146870614	146914212	FMR1NB	NM_152578	ENST00000370467	CCDS14683.1	+	768	5	XCR	Stratum 1	lostY
147390309	147793483	AFF2	NM_002025	ENST00000370460	CCDS14684.1	+	3936	21	XCR	Stratum 1	pseudogene
148372181	148394571	IDS	NM_000202	ENST00000340855	CCDS14685.1	-	1653	9	XCR	Stratum 1	pseudogene
148471683	148472631	LOC728269	NM_001080790	ENST00000243314	CCDS35423.1	-	948	1	XCR	Stratum 1	notAnc_addX
148482050	148484159	HSFX1	NM_016153	ENST00000370416	CCDS44011.1	+	1272	2	XCR	Stratum 1	gene
148487471	148521064	TMEM185A	NM_032508	ENST00000316916	CCDS14689.1	-	1053	7	XCR	Stratum 1	lostY
148675679	148676627	MAGEA9	NM_005365	ENST00000298974	CCDS14691.1	+	948	1	XCR	Stratum 1	notAnc_addXY
148773704	148774661	MAGEA8	NM_005364	ENST00000286482	CCDS14692.1	+	2667	1	XCR	Stratum 1	notAnc_addX
148851419	148852750	CXorf40B	NM_001013845	"ENST00000370406,ENST00000370404,ENST00000355203"	CCDS35426.1	-	945	2	XCR	Stratum 1	lostY
149364440	149428930	MAMLD1	NM_005491	ENST00000370401	CCDS14693.2	+	2325	6	XCR	Stratum 1	pseudogene
149511734	149590726	MTM1	NM_000252	ENST00000306167	CCDS14694.1	+	1812	14	XCR	Stratum 1	lostY
149612661	149654629	MTMR1	NM_003828	ENST00000370390	CCDS14695.1	+	1998	15	XCR	Stratum 1	pseudogene
149688164	149817719	CD99L2	NM_031462	ENST00000370377	CCDS35427.1	-	789	11	XCR	Stratum 1	lostY
149904730	149907045	HMGB3	NM_005342	ENST00000325307	CCDS35428.1	+	603	4	XCR	Stratum 1	lostY
150095851	150100567	GPR50	NM_004224	ENST00000218316	CCDS44012.1	+	1854	2	XCR	Stratum 1	pseudogene
150316438	150324188	VMA21	NM_001017980	ENST00000330374	CCDS35430.1	+	306	3	XCR	Stratum 1	lostY
150520681	150595271	PASD1	NM_173493	ENST00000370357	CCDS35431.1	+	2322	15	XCR	Stratum 1	pseudogene
150617942	150620161	PRRG3	NM_024082	ENST00000370353	CCDS14699.1	+	696	3	XCR	Stratum 1	lostY
150635247	150641887	FATE1	NM_033085	ENST00000370350	CCDS14700.1	+	552	5	XCR	Stratum 1	lostY
150657611	150663626	CNGA2	NM_005140	"ENST00000370342,ENST00000329903"	CCDS14701.1	+	1995	6	XCR	Stratum 1	pseudogene
150842792	150843746	MAGEA4	NM_002362	"ENST00000393921,ENST00000393920,ENST00000370340,ENST00000370335,ENST00000360243,ENST00000276344"	CCDS14702.1	+	954	1	XCR	Stratum 1	pseudogene
150873828	150893753	GABRE	NM_004961	ENST00000370328	CCDS14703.1	-	1521	9	XCR	Stratum 1	pseudogene
151053638	151054748	MAGEA10	NM_021048	"ENST00000370323,ENST00000244096"	CCDS14705.1	-	1110	1	XCR	Stratum 1	pseudogene
151087355	151283698	GABRA3	NM_000808	"ENST00000370314,ENST00000370311"	CCDS14706.1	-	1479	9	XCR	Stratum 1	lostY
151557312	151572400	GABRQ	NM_018558	ENST00000276369	CCDS14707.1	+	1899	9	XCR	Stratum 1	lostY
151619966	151620911	MAGEA6	NM_175868	"ENST00000393900,ENST00000329342"	CCDS14708.1	+	945	1	XCR	Stratum 1	notAnc_addX
151636251	151637196	MAGEA2	NM_175743	"ENST00000393876,ENST00000393875,ENST00000370284,ENST00000332329"	CCDS14713.1	-	945	1	XCR	Stratum 1	notAnc_addXY
151650511	151651456	MAGEA12	NM_005367	ENST00000357916	CCDS14710.1	-	2451	1	XCR	Stratum 1	notAnc_addXY
151655158	151659864	CSAG1	NM_153478	ENST00000370287	CCDS14711.1	+	2226	3	XCR	Stratum 1	notAnc_addX
151678542	151679084	CSAG2	NM_001080848	ENST00000356911	CCDS44017.1	+	1002	2	XCR	Stratum 1	notAnc_addX
151685877	151686822	MAGEA3	NM_005362	ENST00000370278	CCDS14715.1	-	945	1	XCR	Stratum 1	notAnc_addXY
151747040	151749910	CETN2	NM_004344	ENST00000370277	CCDS14716.1	-	519	5	XCR	Stratum 1	lostY
151765524	151788316	NSDHL	NM_015922	ENST00000370274	CCDS14717.1	+	1122	7	XCR	Stratum 1	lostY
151909451	151910798	PNMA5	NM_052926	ENST00000361887	CCDS14718.1	-	1347	1	XCR	Stratum 1	pseudogene
151976068	151977460	PNMA3	NM_013364	ENST00000370264	CCDS35435.2	+	1392	1	XCR	Stratum 1	pseudogene
151992101	151993301	PNMA6A	NM_032882	"ENST00000393864,ENST00000370262"	CCDS14719.1	+	1200	1	XCR	Stratum 1	lostY
